,user_id,like,add,category,location,location_id
0,0,1,0,beach,LABUAN BAJO,31
1,0,1,0,beach,TAPANULI TENGAH,54
2,0,1,0,beach,UJUNG KULON,85
3,0,1,0,beach,PANTAI SELATAN,57
4,0,1,0,beach,MALDIVES,36
5,0,1,0,beach,LOMBOK,24
6,0,1,0,beach,NUSA PENIDA,83
7,0,1,0,beach,PANTAI WATU KARUNG,111
8,0,1,0,beach,PULAU SERIBU,41
9,0,1,0,beach,PANTAI KLAYAR,109
10,0,1,0,beach,BANGKA BELITUNG,68
11,0,1,0,beach,PULAU PAHAWANG,52
12,0,1,0,beach,NUSA DUA,115
13,0,1,0,beach,PANTAI KUTA,88
14,0,1,0,beach,CANGGU,46
15,1,1,0,beach,RAJA AMPAT,2
16,1,1,0,beach,PANTAI TELENGRIA,110
17,1,1,0,beach,BALI,9
18,1,1,0,beach,LOMBOK,24
19,1,1,0,beach,TAPANULI TENGAH,54
20,1,1,0,beach,CANGGU,46
21,1,1,0,beach,UJUNG KULON,85
22,1,1,0,beach,GUMUK PASIR PARANGKUSUMO,60
23,1,1,0,beach,ANCOL,12
24,1,1,0,beach,LABUAN BAJO,31
25,1,1,0,beach,PANTAI WATU KARUNG,111
26,1,1,0,beach,BANGKA BELITUNG,68
27,1,1,0,beach,PULAU KOMODO,26
28,1,1,0,beach,PULAU PAHAWANG,52
29,1,1,0,beach,NUSA DUA,115
30,2,1,0,beach,LOMBOK,24
31,2,1,0,beach,PULAU KOMODO,26
32,2,1,0,beach,SLOVENIA,43
33,2,1,0,beach,NUSA TENGGARA BARAT,94
34,2,1,0,beach,RAJA AMPAT,2
35,2,1,0,beach,GUMUK PASIR PARANGKUSUMO,60
36,2,1,0,beach,BANGKA BELITUNG,68
37,2,1,0,beach,KENDARI,74
38,2,1,0,beach,PANTAI WATU KARUNG,111
39,2,1,0,beach,NUSA DUA,115
40,2,1,0,beach,TAPANULI TENGAH,54
41,2,1,0,beach,GEOPARK CILETUH,90
42,2,1,0,beach,DUBAI,53
43,2,1,0,beach,PULAU PAHAWANG,52
44,2,1,0,beach,MALDIVES,36
45,3,1,0,beach,PANGANDARAN,7
46,3,1,0,beach,KENDARI,74
47,3,1,0,beach,PULAU KOMODO,26
48,3,1,0,beach,CANGGU,46
49,3,1,0,beach,PULAU PAHAWANG,52
50,3,1,0,beach,PULAU SERIBU,41
51,3,1,0,beach,NUSA TENGGARA BARAT,94
52,3,1,0,beach,NUSA DUA,115
53,3,1,0,beach,PANTAI WATU KARUNG,111
54,3,1,0,beach,PANTAI SELATAN,57
55,3,1,0,beach,WAKATOBI,119
56,3,1,0,beach,MALDIVES,36
57,3,1,0,beach,TAPANULI TENGAH,54
58,3,1,0,beach,PANTAI ANCOL,107
59,3,1,0,beach,LABUAN BAJO,31
60,4,1,0,beach,SLOVENIA,43
61,4,1,0,beach,KENDARI,74
62,4,1,0,beach,LABUAN BAJO,31
63,4,1,0,beach,BALI,9
64,4,1,0,beach,WAKATOBI,119
65,4,1,0,beach,PANTAI ANCOL,107
66,4,1,0,beach,ANCOL,12
