,location_id,location,coordinates,categories
0,0,GUNUNG GEDE,,"['outbond', 'mountain']"
1,1,ES KRIM RAGUSA,,"['mall', 'culinary', 'shopping']"
2,2,RAJA AMPAT,,"['mountain', 'beach', 'photoHunting']"
3,3,DANAU TOBA,,"['outbond', 'lake', 'conservation']"
4,4,GUNUNG BROMO,,"['outbond', 'mountain', 'conservation']"
5,5,KOREA SELATAN,,"['culinary', 'sightSeeing', 'shopping']"
6,6,JEPANG,,"['mountain', 'culinary', 'shopping']"
7,7,PANGANDARAN,,"['sightSeeing', 'beach', 'photoHunting']"
8,8,SUMBAR,,['sightSeeing']
9,9,BALI,,"['mountain', 'beach', 'outbond']"
10,10,GUNUNG,,"['outbond', 'mountain']"
11,11,PONOROGO,,"['shopping', 'sightSeeing', 'photoHunting']"
12,12,ANCOL,,"['outbond', 'beach', 'photoHunting']"
13,13,MEKKAH,,"['religious', 'sightSeeing', 'shopping']"
14,14,SWITZERLAND,,"['photoHunting', 'mountain', 'sightSeeing']"
15,15,BANDUNG,,"['culinary', 'mountain', 'mall', 'sightSeeing']"
16,16,SWISS,,"['sightSeeing', 'mountain', 'photoHunting', 'culinary']"
17,17,GUNUNG SEMERU,,"['conservation', 'mountain', 'outbond']"
18,18,YOGYAKARTA,,"['mall', 'culinary', 'outbond']"
19,19,LONDON,,"['shopping', 'HistoricalPlace', 'mall']"
20,20,EROPA,,"['shopping', 'HistoricalPlace', 'mall', 'sightSeeing']"
21,21,PERANCIS,,"['shopping', 'HistoricalPlace', 'mall', 'sightSeeing']"
22,22,JAWA BARAT,,['culinary']
23,23,LAMPUNG,,['sightSeeing']
24,24,LOMBOK,,"['conservation', 'beach', 'outbond']"
25,25,AMERIKA SERIKAT,,"['shopping', 'sightSeeing']"
26,26,PULAU KOMODO,,"['conservation', 'beach']"
27,27,THAILAND,,"['sightSeeing', 'culinary']"
28,28,TOKYO,,"['shopping', 'mall']"
29,29,UNIVERSAL STUDIO SINGAPORE,,"['mall', 'amusementPark', 'shopping']"
30,30,DUFAN,,"['waterpark', 'amusementPark', 'shopping']"
31,31,LABUAN BAJO,,"['waterfall', 'beach', 'sightSeeing']"
32,32,JERMAN,,"['shopping', 'mall', 'sightSeeing']"
33,33,SINGAPURA,,"['mall', 'sightSeeing', 'culinary']"
34,34,NUSAWIRU PARACENTER,,['outbond']
35,35,BHUTAN,,"['HistoricalPlace', 'religious', 'sightSeeing']"
36,36,MALDIVES,,"['photoHunting', 'beach', 'sightSeeing']"
