0,Canggu,47
0,Slovenia,43
0,Bali,9
0,Pulau Komodo,26
0,Lombok,24
0,Nusa Tenggara Barat,100
0,Dubai,54
0,Kendari,75
0,Pulau Pahawang,53
0,Yogyakarta,46
0,Pantai Selatan,58
0,Ujung Kulon,88
0,Raja Ampat,2
1,Ancol,12
1,Ujung Kulon,88
1,Geopark Ciletuh,96
1,Pantai Kuta,93
1,Raja Ampat,2
1,Gumuk Pasir Parangkusumo,61
1,Maldives,36
1,Pulau Seribu,41
1,Yogyakarta,46
1,Bangka Belitung,69
1,Pulau Pahawang,53
1,Dubai,54
1,Tapanuli Tengah,55
2,Slovenia,43
2,Lombok,24
2,Raja Ampat,2
2,Tapanuli Tengah,55
2,Canggu,47
2,Kendari,75
2,Nusa Penida,85
2,Pulau Komodo,26
2,Pangandaran,7
2,Yogyakarta,46
2,Nusa Tenggara Barat,100
2,Pulau Seribu,41
2,Pantai Selatan,58
3,Pantai Kuta,93
3,Indonesia,50
3,Dubai,54
3,Yogyakarta,46
3,Canggu,47
3,Lombok,24
3,Ancol,12
3,Bangka Belitung,69
3,Pulau Komodo,26
3,Maldives,36
3,Pulau Seribu,41
3,Tapanuli Tengah,55
3,Pangandaran,7
4,Geopark Ciletuh,96
4,Maldives,36
4,Ancol,12
4,Yogyakarta,46
4,Tapanuli Tengah,55
4,Nusa Tenggara Barat,100
4,Pulau Pahawang,53
4,Nusa Penida,85
4,Ujung Kulon,88
4,Pantai Kuta,93
4,Pangandaran,7
4,Kendari,75
4,Raja Ampat,2
5,Slovenia,43
5,Raja Ampat,2
5,Bangka Belitung,69
5,Yogyakarta,46
5,Nusa Tenggara Barat,100
5,Lombok,24
5,Tapanuli Tengah,55
5,Maldives,36
5,Ancol,12
5,Pantai Selatan,58
5,Ujung Kulon,88
5,Pangandaran,7
5,Gumuk Pasir Parangkusumo,61
6,Geopark Ciletuh,96
6,Labuan Bajo,31
6,Pulau Pahawang,53
6,Indonesia,50
6,Pulau Komodo,26
6,Canggu,47
6,Pulau Seribu,41
6,Gumuk Pasir Parangkusumo,61
6,Maldives,36
6,Bangka Belitung,69
6,Ancol,12
6,Bali,9
6,Ujung Kulon,88
7,Canggu,47
7,Pulau Komodo,26
7,Pulau Pahawang,53
7,Yogyakarta,46
7,Lombok,24
7,Nusa Tenggara Barat,100
7,Tapanuli Tengah,55
7,Raja Ampat,2
7,Bangka Belitung,69
7,Ancol,12
7,Slovenia,43
7,Pantai Selatan,58
7,Pulau Seribu,41
8,Bangka Belitung,69
8,Pulau Komodo,26
8,Bali,9
8,Pantai Kuta,93
8,Dubai,54
8,Indonesia,50
8,Pangandaran,7
8,Labuan Bajo,31
8,Ujung Kulon,88
8,Yogyakarta,46
8,Slovenia,43
8,Gumuk Pasir Parangkusumo,61
8,Pulau Seribu,41
9,Nusa Penida,85
9,Bali,9
9,Nusa Tenggara Barat,100
9,Yogyakarta,46
9,Canggu,47
9,Labuan Bajo,31
9,Indonesia,50
9,Geopark Ciletuh,96
9,Tapanuli Tengah,55
9,Ancol,12
9,Pantai Selatan,58
9,Pulau Pahawang,53
9,Ujung Kulon,88
10,Pangandaran,7
10,Bali,9
10,Dubai,54
10,Canggu,47
10,Bangka Belitung,69
10,Yogyakarta,46
10,Pantai Kuta,93
10,Indonesia,50
10,Nusa Penida,85
10,Slovenia,43
10,Lombok,24
10,Pulau Komodo,26
10,Ujung Kulon,88
11,Ancol,12
11,Geopark Ciletuh,96
11,Pulau Seribu,41
11,Bangka Belitung,69
11,Kendari,75
11,Indonesia,50
11,Pulau Komodo,26
11,Slovenia,43
11,Maldives,36
11,Canggu,47
11,Pulau Pahawang,53
11,Raja Ampat,2
11,Yogyakarta,46
12,Gumuk Pasir Parangkusumo,61
12,Pulau Pahawang,53
12,Labuan Bajo,31
12,Pantai Selatan,58
12,Lombok,24
12,Indonesia,50
12,Ancol,12
12,Bangka Belitung,69
12,Nusa Penida,85
12,Tapanuli Tengah,55
12,Nusa Tenggara Barat,100
12,Pulau Seribu,41
12,Slovenia,43
13,Pulau Komodo,26
13,Pulau Pahawang,53
13,Labuan Bajo,31
13,Pangandaran,7
13,Nusa Penida,85
13,Bangka Belitung,69
13,Pulau Seribu,41
13,Yogyakarta,46
13,Raja Ampat,2
13,Nusa Tenggara Barat,100
13,Kendari,75
13,Pantai Selatan,58
13,Ujung Kulon,88
14,Kendari,75
14,Yogyakarta,46
14,Ujung Kulon,88
14,Maldives,36
14,Indonesia,50
14,Slovenia,43
14,Ancol,12
14,Geopark Ciletuh,96
14,Bali,9
14,Canggu,47
14,Lombok,24
14,Bangka Belitung,69
14,Pulau Komodo,26
15,Indonesia,50
15,Yogyakarta,46
15,Ujung Kulon,88
15,Bali,9
15,Lombok,24
15,Gumuk Pasir Parangkusumo,61
15,Raja Ampat,2
15,Kendari,75
15,Dubai,54
15,Tapanuli Tengah,55
15,Pulau Pahawang,53
15,Nusa Penida,85
15,Pulau Komodo,26
16,Labuan Bajo,31
16,Gumuk Pasir Parangkusumo,61
16,Slovenia,43
16,Bangka Belitung,69
16,Nusa Tenggara Barat,100
16,Pantai Selatan,58
16,Geopark Ciletuh,96
16,Maldives,36
16,Yogyakarta,46
16,Canggu,47
16,Kendari,75
16,Bali,9
16,Raja Ampat,2
17,Pulau Pahawang,53
17,Pantai Kuta,93
17,Tapanuli Tengah,55
17,Bangka Belitung,69
17,Nusa Penida,85
17,Indonesia,50
17,Bali,9
17,Pulau Komodo,26
17,Raja Ampat,2
17,Pantai Selatan,58
17,Slovenia,43
17,Gumuk Pasir Parangkusumo,61
17,Lombok,24
18,Pantai Kuta,93
18,Ancol,12
18,Lombok,24
18,Ujung Kulon,88
18,Pulau Seribu,41
18,Nusa Tenggara Barat,100
18,Geopark Ciletuh,96
18,Pulau Komodo,26
18,Pangandaran,7
18,Slovenia,43
18,Yogyakarta,46
18,Indonesia,50
18,Nusa Penida,85
19,Yogyakarta,46
19,Pulau Pahawang,53
19,Pantai Selatan,58
19,Pulau Seribu,41
19,Kendari,75
19,Canggu,47
19,Labuan Bajo,31
19,Lombok,24
19,Pantai Kuta,93
19,Pulau Komodo,26
19,Dubai,54
19,Tapanuli Tengah,55
19,Geopark Ciletuh,96
20,Raja Ampat,2
20,Nusa Penida,85
20,Tapanuli Tengah,55
20,Ancol,12
20,Pulau Pahawang,53
20,Nusa Tenggara Barat,100
20,Bali,9
20,Dubai,54
20,Pulau Komodo,26
20,Gumuk Pasir Parangkusumo,61
20,Indonesia,50
20,Pantai Selatan,58
20,Kendari,75
