0,Gunung Gede,,"['mountain', 'outbond', 'photoHunting', 'sightSeeing']"
1,es krim ragusa,,"['culinary', 'mall', 'shopping']"
2,Raja Ampat,,"['beach', 'mountain', 'photoHunting', 'sightSeeing']"
3,Danau Toba,,"['lake', 'photoHunting', 'conservation', 'outbond']"
4,Gunung Bromo,,"['mountain', 'outbond', 'conservation']"
5,Korea Selatan,,"['culinary', 'photoHunting', 'sightSeeing', 'shopping']"
6,Jepang,,"['mountain', 'photoHunting', 'culinary', 'shopping']"
7,Pangandaran,,"['beach', 'sightSeeing', 'photoHunting']"
8,Sumbar,,['sightSeeing']
9,Bali,,"['beach', 'mountain', 'photoHunting', 'outbond', 'shopping']"
10,Gunung,,"['mountain', 'outbond']"
11,Ponorogo,,"['sightSeeing', 'shopping', 'photoHunting']"
12,Ancol,,"['beach', 'outbond', 'photoHunting']"
13,Mekkah,,"['religious', 'photoHunting', 'sightSeeing', 'shopping']"
14,Switzerland,,"['mountain', 'photoHunting', 'sightSeeing']"
15,Bandung,,"['mountain', 'culinary', 'mall', 'sightSeeing']"
16,Swiss,,"['mountain', 'sightSeeing', 'photoHunting', 'culinary']"
17,Gunung Semeru,,"['mountain', 'conservation', 'outbond', 'photoHunting', 'sightSeeing']"
18,Jogja,,"['mall', 'shopping', 'conservation', 'sightSeeing', 'culinary']"
19,London,,"['HistoricalPlace', 'shopping', 'mall']"
20,Eropa,,"['HistoricalPlace', 'shopping', 'mall', 'sightSeeing']"
21,Perancis,,"['HistoricalPlace', 'shopping', 'mall', 'sightSeeing']"
22,Jawa Barat,,"['photoHunting', 'mountain', 'mountain', 'sightSeeing', 'shopping']"
23,Lampung,,['sightSeeing']
24,Lombok,,"['beach', 'conservation', 'outbond', 'sightSeeing']"
25,Amerika Serikat,,"['HistoricalPlace', 'shopping', 'mall', 'sightSeeing']"
26,Pulau Komodo,,"['beach', 'conservation']"
27,Thailand,,"['culinary', 'sightSeeing']"
28,Tokyo,,"['mall', 'shopping']"
29,Universal Studio Singapore,,"['amusementPark', 'mall', 'shopping']"
30,Dufan,,"['amusementPark', 'waterpark', 'shopping']"
31,Labuan Bajo,,"['beach', 'waterfall', 'photoHunting', 'sightSeeing']"
32,Jerman,,"['HistoricalPlace', 'shopping', 'mall', 'sightSeeing']"
33,Singapura,,"['sightSeeing', 'mall', 'culinary']"
34,Nusawiru Paracenter,,['outbond']
35,Bhutan,,"['religious', 'HistoricalPlace', 'sightSeeing']"
36,Maldives,,"['beach', 'photoHunting', 'sightSeeing']"
37,Surabaya,,"['mall', 'sightSeeing', 'shopping']"
38,Israel,,"['HistoricalPlace', 'shopping', 'mall', 'sightSeeing']"
39,Prancis,,"['HistoricalPlace', 'shopping', 'mall', 'sightSeeing']"
40,Candi Borobudur,,"['conservation', 'HistoricalPlace', 'religious', 'photoHunting']"
41,Pulau Seribu,,"['beach', 'conservation', 'photoHunting']"
42,Katulampa Rafting Bogor,,"['river', 'outbond']"
43,Slovenia,,"['beach', 'mountain', 'sightSeeing', 'shopping']"
44,Waterbom Bali,,"['waterpark', 'outbond']"
45,Sudirman Street Bandung,,['culinary']
46,Yogyakarta,,"['mountain', 'mall', 'beach', 'culinary', 'outbond']"
47,Canggu,,"['beach', 'sightSeeing']"
48,Tangerang,,['culinary']
49,Museum Moja,,"['artGallery', 'photoHunting']"
50,Indonesia,,"['beach', 'mountain', 'lake', 'river', 'sightSeeing']"
51,Malaysia,,"['sightSeeing', 'shopping']"
52,Branchsto BSD,,['outbond']
53,Pulau Pahawang,,"['beach', 'outbond']"
54,Dubai,,"['beach', 'shopping', 'mall']"
55,Tapanuli Tengah,,"['beach', 'sightSeeing', 'photoHunting']"
56,Medan,,"['photoHunting', 'lake', 'mountain', 'religious', 'sightSeeing']"
57,Museum Macan,,"['artGallery', 'photoHunting']"
58,Pantai Selatan,,"['beach', 'outbond', 'sightSeeing']"
59,Gamplong Studio,,"['artGallery', 'photoHunting', 'sightSeeing']"
60,Solo,,"['culinary', 'sightSeeing']"
61,Gumuk Pasir Parangkusumo,,"['beach', 'outbond']"
62,Jakarta,,"['culinary', 'mall', 'shopping']"
63,Museum IPTEK,,"['HistoricalPlace', 'sightSeeing']"
64,Gunung Parang,,"['mountain', 'outbond']"
65,Bali Tower,,['outbond']
66,Museum Nasional ImersifA,,"['artGallery', 'photoHunting', 'sightSeeing']"
67,Malang,,"['HistoricalPlace', 'sightSeeing']"
68,Mall Pakuwon,,"['mall', 'shopping']"
69,Bangka Belitung,,"['beach', 'sightSeeing']"
70,Alaska,,"['mountain', 'photoHunting', 'conservation']"
71,Danau Salar de Uyuni,,"['lake', 'sightSeeing', 'photoHunting']"
72,Akihabara,,"['mall', 'shopping']"
73,Walt Disney World Florida,,['amusementPark']
74,Yerusalem,,"['religious', 'sightSeeing', 'HistoricalPlace']"
75,Kendari,,"['beach', 'photoHunting']"
76,Taman Mekarsari,,"['mountain', 'outbond']"
77,Air Terjun Sipiso-piso,,"['waterfall', 'photoHunting', 'outbond']"
78,Taman Strawberry Kadudampit,,"['mountain', 'culinary', 'sightSeeing']"
79,Pemandian Air Panas Ciater,,"['mountain', 'waterpark', 'sightSeeing']"
80,Museum,,"['HistoricalPlace', 'photoHunting']"
81,Gunung Rinjani,,"['mountain', 'outbond', 'photoHunting']"
82,Gunung Fuji,,"['mountain', 'photoHunting']"
83,europe,,"['artGallery', 'photoHunting', 'sightSeeing']"
84,Tawangmangu,,"['waterfall', 'outbond', 'sightSeeing']"
85,Nusa Penida,,"['beach', 'outbond', 'photoHunting']"
86,Denmark,,"['photoHunting', 'river', 'shopping']"
87,singapore,,"['amusementPark', 'photoHunting', 'outbond']"
88,Ujung Kulon,,"['conservation', 'beach', 'photoHunting']"
89,Asia Timur,,"['sightSeeing', 'photoHunting']"
90,museum MACAN,,"['artGallery', 'photoHunting']"
91,singapura,,"['culinary', 'amusementPark', 'photoHunting', 'sightSeeing']"
92,tegal,,"['waterfall', 'culinary', 'sightSeeing']"
93,Pantai Kuta,,"['beach', 'photoHunting', 'outbond']"
94,mekkah,,"['religious', 'shopping', 'culinary']"
95,New Zealand,,"['mountain', 'photoHunting', 'sightSeeing']"
96,Geopark Ciletuh,,"['beach', 'photoHunting', 'outbond']"
97,Palembang,,"['culinary', 'sightSeeing']"
98,Disney Sea,,"['amusementPark', 'outbond', 'photoHunting', 'zoo']"
99,Perpusnas,,"['sightSeeing', 'HistoricalPlace']"
100,Nusa Tenggara Barat,,"['mountain', 'beach', 'outbond', 'photoHunting']"
101,Museum Nasional,,"['photoHunting', 'sightSeeing', 'HistoricalPlace']"
102,Disneyland Paris,,"['amusementPark', 'photoHunting', 'shopping']"
103,New York,,"['photoHunting', 'shopping', 'mall']"
